family,trackinglevel,subtype,targetgrade,ucaspoints,entryscoreupper,entryscorelower,unitsscoreupper,unitsscorelower,ranking
BTEC,"Level 1 & 2",Diploma,"Level 2 D*D/Level 2 D*D*",NULL,NULL,NULL,-1.00,-1.00,8.3
BTEC,"Level 1 & 2",Diploma,"Level 2 D*D",NULL,NULL,NULL,372.00,366.00,8.0
BTEC,"Level 1 & 2",Diploma,"Level 2 D*D/Level 2 DD",NULL,NULL,NULL,-1.00,-1.00,7.6
BTEC,"Level 1 & 2",Diploma,"Level 2 DD/Level 2 D*D",NULL,NULL,NULL,-1.00,-1.00,7.3
BTEC,"Level 1 & 2",Diploma,"Level 2 DD",NULL,NULL,NULL,366.00,360.00,7.0
BTEC,"Level 1 & 2",Diploma,"Level 2 DD/Level 2 DM",NULL,NULL,NULL,-1.00,-1.00,6.6
BTEC,"Level 1 & 2",Diploma,"Level 2 DM/Level 2 DD",NULL,NULL,NULL,-1.00,-1.00,6.3
BTEC,"Level 1 & 2",Diploma,"Level 2 DM",NULL,NULL,NULL,360.00,318.00,6.0
BTEC,"Level 1 & 2",Diploma,"Level 2 DM/Level 2 MM",NULL,NULL,NULL,-1.00,-1.00,5.6
BTEC,"Level 1 & 2",Diploma,"Level 2 MM/Level 2 DM",NULL,NULL,NULL,-1.00,-1.00,5.3
BTEC,"Level 1 & 2",Diploma,"Level 2 MM",NULL,NULL,NULL,318.00,276.00,5.0
BTEC,"Level 1 & 2",Diploma,"Level 2 MM/Level 2 MP",NULL,NULL,NULL,-1.00,-1.00,4.6
BTEC,"Level 1 & 2",Diploma,"Level 2 MP/Level 2 MM",NULL,NULL,NULL,-1.00,-1.00,4.3
BTEC,"Level 1 & 2",Diploma,"Level 2 MP",NULL,NULL,NULL,276.00,234.00,4.0
BTEC,"Level 1 & 2",Diploma,"Level 2 MP/Level 2 PP",NULL,NULL,NULL,-1.00,-1.00,3.6
BTEC,"Level 1 & 2",Diploma,"Level 2 PP/Level 2 MP",NULL,NULL,NULL,-1.00,-1.00,3.3
BTEC,"Level 1 & 2",Diploma,"Level 2 PP",NULL,NULL,NULL,234.00,192.00,3.0
BTEC,"Level 1 & 2",Diploma,"Level 2 PP/Level 1",NULL,NULL,NULL,-1.00,-1.00,2.6
BTEC,"Level 1 & 2",Diploma,"Level 1/Level 2 PP",NULL,NULL,NULL,-1.00,-1.00,2.3
BTEC,"Level 1 & 2",Diploma,"Level 1",NULL,NULL,NULL,192.00,96.00,2.0
BTEC,"Level 1 & 2",Diploma,"Level 1/U",NULL,NULL,NULL,-1.00,NULL,1.6
BTEC,"Level 1 & 2",Diploma,"U/Level 1",NULL,NULL,NULL,-1.00,NULL,1.3
BTEC,"Level 1 & 2",Diploma,U,NULL,NULL,NULL,96.00,0.00,1.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 D*D*",NULL,NULL,NULL,500.00,276.00,9.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 D*D*/Level 2 D*D",NULL,NULL,NULL,-1.00,-1.00,8.6
BTEC,"Level 1 & 2","Extended Certificate","Level 2 D*D/Level 2 D*D*",NULL,NULL,NULL,-1.00,-1.00,8.3
BTEC,"Level 1 & 2","Extended Certificate","Level 2 D*D",NULL,NULL,NULL,276.00,270.00,8.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 D*D/Level 2 DD",NULL,NULL,NULL,-1.00,-1.00,7.6
BTEC,"Level 1 & 2","Extended Certificate","Level 2 DD/Level 2 D*D",NULL,NULL,NULL,-1.00,-1.00,7.3
BTEC,"Level 1 & 2","Extended Certificate","Level 2 DD",NULL,NULL,NULL,270.00,264.00,7.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 DD/Level 2 DM",NULL,NULL,NULL,-1.00,-1.00,6.6
BTEC,"Level 1 & 2","Extended Certificate","Level 2 DM/Level 2 DD",NULL,NULL,NULL,-1.00,-1.00,6.3
BTEC,"Level 1 & 2","Extended Certificate","Level 2 DM",NULL,NULL,NULL,264.00,234.00,6.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 DM/Level 2 MM",NULL,NULL,NULL,-1.00,-1.00,5.6
