id,userid,trackingqualificationid,trackingunitid,award,comments,dateupdated,userdefinedvalue,shortvalue,setbyuserid,updatedbyuserid,dateset
91772,22063,28,158,Distinction,,,,,,,
91770,33140,28,726,Pass,,,,,,,
36362,16739,116,209,,,,,,,,
37310,37409,22,32,Pass,,,,,,,
37412,23152,22,117,,,,,,,,
16002,34521,57,252,,,,,,,,
92357,46171,566,161,,,,,,,,
37415,32971,22,117,,,,,,,,
15948,22991,57,251,,,,,,,,
16001,34260,57,258,,,,,,,,
36361,16739,116,208,,,,,,,,
37313,23152,22,32,Pass,,,,,,,
15902,21457,57,253,,,,,,,,
15949,22991,57,250,,,,,,,,
16000,34260,57,253,,,,,,,,
37314,34326,22,32,Pass,,,,,,,
15950,22991,57,255,,,,,,,,
15999,34260,57,255,,,,,,,,
15890,12175,57,252,,,,,,,,
15906,21725,57,251,,,,,,,,
15951,22991,57,253,,,,,,,,
15998,34260,57,250,,,,,,,,
15997,34260,57,251,,,,,,,,
15893,12175,57,250,,,,,,,,
15915,21991,57,255,,,,,,,,
15897,21457,57,252,,,,,,,,
15916,21991,57,253,,,,,,,,
15995,34260,57,252,,,,,,,,
15922,22024,57,255,,,,,,,,
15994,33467,57,258,,,,,,,,
15899,21457,57,251,,,,,,,,
15925,22042,57,252,,,,,,,,
37421,34287,22,117,Merit,,,,,,,
15993,33467,57,253,,,,,,,,
37431,35956,22,117,Merit,,,,,,,
37418,34284,22,117,,,,,,,,
15992,33467,57,255,,,,,,,,
37428,34299,22,117,Distinction,,,,,,,
15932,22058,57,252,,,,,,,,
37420,34259,22,117,Distinction,,,,,,,
15991,33467,57,250,,,,,,,,
37430,35955,22,117,Merit,,,,,,,
15935,22058,57,250,,,,,,,,
108214,36111,505,255,Pass,,,,,,,
15990,33467,57,251,,,,,,,,
37429,31166,22,117,,,,,,,,
15936,22058,57,255,,,,,,,,
37417,34346,22,117,Pass,,,,,,,
37416,34329,22,117,,,,,,,,
80348,36328,397,471,Pass,,1349283560,,,,,
80347,36328,397,470,Merit,,1349283376,,,,,
80346,36328,397,469,Merit,,1349283347,,,,,
80345,36328,397,15,Merit,,1349282972,,,,,
80344,36328,397,14,Pass,,1349282945,,,,,
80343,36328,397,13,Pass,,1349282796,,,,,
80342,36328,397,12,Pass,,1349282773,,,,,
80341,36328,397,11,Pass,,1349282529,,,,,
80340,36327,397,475,Pass,,1349284059,,,,,
80339,36327,397,472,Pass,,1349283586,,,,,
80338,36327,397,471,Pass,,1349283569,,,,,
80337,36327,397,470,Pass,,1349283368,,,,,
80336,36327,397,469,Pass,,1349283356,,,,,
80335,36327,397,15,Merit,,1349282965,,,,,
80334,36327,397,14,Pass,,1349282949,,,,,
80333,36327,397,13,Pass,,1349282788,,,,,
111315,36818,19,1132,Pass,,,,,,,
43418,35020,50,358,,,,,,,,
43417,18214,50,358,,,,,,,,
91216,46195,564,560,Pass,,,,,,,
49184,23847,176,508,Pass,,,,,,,
43414,35021,50,358,,,,,,,,
88915,22626,156,399,,,,,,,,
43400,26511,50,356,,,,,,,,
43399,35023,50,356,,,,,,,,
89318,21088,156,406,,,,,,,,
43480,35017,50,353,,,,,,,,
89294,22189,156,404,,,,,,,,
43478,35020,50,353,,,,,,,,
43477,18214,50,353,,,,,,,,
91220,41988,564,556,,,,,,,,
49188,23847,176,336,Merit,,,,,,,
43474,35021,50,353,,,,,,,,
88919,22626,156,403,,,,,,,,
87386,42486,546,859,,,,,,,,
87387,42486,546,868,,,,,,,,
87388,42486,546,869,,,,,,,,
87389,42486,546,870,,,,,,,,
86388,36813,112,12,Distinction,,,,,,,
86371,36812,112,12,Merit,,,,,,,
86354,36020,112,12,Distinction,,,,,,,
86337,35095,112,12,Distinction,,,,,,,
86320,41406,112,12,,,,,,,,
86318,23856,112,16,Merit,,,,,,,
88028,30121,156,514,,,,,,,,
87390,42486,546,871,,,,,,,,
87391,42486,546,872,,,,,,,,
87392,42486,546,912,,,,,,,,
49194,36310,176,193,Pass,,,,,,,
43498,35021,50,109,,,,,,,,
88927,22626,156,411,,,,,,,,
43496,26511,50,351,,,,,,,,
43495,35023,50,351,,,,,,,,
105776,17072,116,769,,,,,,,,
89320,21088,156,408,,,,,,,,
43492,35017,50,351,,,,,,,,
89296,22189,156,406,,,,,,,,
79505,36313,561,113,,,,,,,,
79504,46361,561,113,,,,,,,,
79503,47241,561,113,Pass,,,,,,,
79502,47237,561,113,,,,,,,,
79501,22817,561,113,Pass,,,,,,,
79500,14049,561,113,,,,,,,,
79499,34282,561,113,Pass,,,,,,,
79498,46358,561,113,Pass,,,,,,,
79497,47238,561,28,Pass,,,,,,,
79496,41774,561,28,Distinction,,,,,,,
79495,41773,561,28,Distinction,,,,,,,
79494,46417,561,28,Pass,,,,,,,
107960,36481,397,1117,Distinction,,1371458891,,,,,
79492,46737,561,28,,,,,,,,
79490,47239,561,28,Distinction,,,,,,,
79491,27276,561,28,,,,,,,,
49179,23847,176,196,Merit,,1370276251,,,,,
43342,35021,50,363,,,,,,,,
88910,46356,156,631,,,,,,,,
43340,26511,50,359,,,,,,,,
43339,35023,50,359,,,,,,,,
91765,33140,28,159,Distinction,,,,,,,
89313,21088,156,401,,,,,,,,
43336,35017,50,359,,,,,,,,
86692,35860,552,14,,,,,,,,
112778,48468,409,154,Pass,,,,,,,
112779,48468,409,155,,,,,,,,
112780,48468,409,156,,,,,,,,
80440,36481,397,475,Distinction,,1349284203,,,,,
80439,36481,397,472,Distinction,,1349283774,,,,,
80438,36481,397,471,Distinction,,1349283475,,,,,
80437,36481,397,470,Distinction,,1349283461,,,,,
80436,36481,397,469,Distinction,,1349283109,,,,,
80435,36481,397,15,Distinction,,1349283093,,,,,
80434,36481,397,14,Merit,,1349282876,,,,,
80433,36481,397,13,Merit,,1349282864,,,,,
80432,36481,397,12,Pass,,1349282695,,,,,
80431,36481,397,11,Merit,,1349282686,,,,,
